slope,rainfall_7days,elevation,distance_to_road,landslide
18.9,302.7,361.0,75.0,0
50.4,304.3,1117.0,355.0,1
17.0,335.9,509.0,120.0,0
12.2,95.9,123.0,810.0,1
29.5,458.1,558.0,948.0,0
54.3,215.2,1954.0,82.0,1
17.1,197.7,1623.0,956.0,0
38.6,264.3,1923.0,527.0,1
43.1,33.0,1027.0,307.0,0
16.9,91.5,308.0,86.0,0
41.4,371.6,1141.0,506.0,1
23.4,50.6,963.0,797.0,0
36.6,305.5,1704.0,710.0,1
36.7,130.2,286.0,60.0,0
31.8,200.8,1028.0,82.0,1
9.5,151.5,385.0,409.0,1
46.8,184.3,717.0,302.0,0
21.0,362.3,1501.0,240.0,0
14.3,155.6,1004.0,288.0,0
7.0,287.5,814.0,805.0,0
34.5,243.3,850.0,930.0,1
38.9,335.2,973.0,411.0,1
5.8,469.0,1592.0,907.0,0
30.6,369.0,1795.0,328.0,1
16.3,115.3,1915.0,482.0,0
37.3,25.3,1595.0,234.0,0
13.7,138.5,699.0,644.0,0
39.5,301.6,1407.0,979.0,1
24.3,35.2,931.0,607.0,0
51.8,253.2,584.0,364.0,1
11.9,302.5,1698.0,651.0,0
22.1,173.8,173.0,132.0,0
10.7,387.7,1813.0,890.0,0
51.2,62.2,977.0,508.0,0
48.9,46.8,1311.0,455.0,0
17.9,366.8,1353.0,590.0,0
38.0,252.8,1801.0,629.0,1
45.9,347.3,1310.0,81.0,1
32.8,223.1,1266.0,686.0,1
31.5,130.7,227.0,250.0,0
17.1,411.4,1085.0,717.0,0
9.7,401.7,385.0,824.0,0
49.9,350.4,1501.0,806.0,1
50.0,143.4,1073.0,557.0,0
36.7,299.2,1392.0,525.0,1
22.0,186.9,179.0,151.0,1
22.5,54.9,261.0,778.0,1
41.3,459.5,1461.0,279.0,1
49.9,77.0,237.0,502.0,0
49.4,475.6,235.0,291.0,1
44.0,228.5,123.0,142.0,1
37.1,100.7,1917.0,633.0,0
9.2,275.5,1501.0,64.0,0
13.1,437.7,771.0,751.0,1
49.9,368.8,663.0,324.0,1
35.3,405.2,764.0,10.0,1
5.5,332.8,1572.0,516.0,0
10.1,349.2,1357.0,56.0,0
38.2,426.1,452.0,283.0,0
5.3,132.3,431.0,710.0,0
13.0,249.8,287.0,72.0,0
32.4,118.4,1355.0,841.0,0
39.6,494.0,1552.0,14.0,1
37.6,472.6,604.0,254.0,1
16.2,29.3,140.0,743.0,0
40.6,355.7,256.0,323.0,1
16.9,463.4,1939.0,111.0,0
21.3,98.5,661.0,367.0,0
42.3,288.3,1562.0,278.0,1
37.5,458.6,1287.0,844.0,1
47.5,26.6,826.0,320.0,0
37.9,351.7,491.0,791.0,1
33.4,155.7,331.0,893.0,0
9.7,463.0,1269.0,439.0,0
23.4,485.8,1572.0,911.0,0
18.3,472.7,1323.0,384.0,0
17.2,242.4,1108.0,964.0,0
53.7,432.4,180.0,98.0,1
24.7,423.8,1940.0,690.0,0
49.6,166.4,1618.0,499.0,0
36.6,416.2,656.0,394.0,1
44.7,28.1,1962.0,636.0,0
30.1,302.2,1244.0,707.0,0
33.8,122.7,1207.0,14.0,0
29.6,69.1,1521.0,175.0,0
14.8,47.7,1642.0,716.0,0
41.1,351.2,1347.0,670.0,1
19.0,176.5,343.0,966.0,0
6.2,365.1,743.0,763.0,0
37.3,42.0,1863.0,951.0,1
13.9,164.5,527.0,706.0,1
52.0,274.4,807.0,305.0,1
52.7,397.5,921.0,114.0,1
50.7,166.2,935.0,784.0,0
23.5,316.7,1265.0,648.0,1
5.8,444.1,1892.0,58.0,1
51.4,311.8,557.0,366.0,1
26.4,124.2,331.0,957.0,0
53.3,22.0,475.0,505.0,0
53.2,436.3,1785.0,438.0,1
47.7,20.4,1327.0,463.0,0
19.7,438.6,643.0,217.0,0
24.3,269.2,1650.0,375.0,0
47.6,470.1,1737.0,376.0,1
20.8,401.4,1708.0,62.0,0
13.5,499.0,1846.0,770.0,1
32.8,181.8,579.0,422.0,0
51.8,385.9,1535.0,824.0,1
39.8,206.9,975.0,852.0,1
33.5,245.1,1700.0,220.0,1
9.9,317.5,1484.0,661.0,0
35.8,438.1,1575.0,478.0,1
54.5,492.2,1347.0,881.0,1
12.0,386.5,437.0,224.0,0
30.9,214.7,1136.0,681.0,1
48.9,216.5,1971.0,612.0,1
42.0,371.4,1881.0,302.0,1
39.9,127.0,182.0,145.0,0
40.1,64.1,413.0,655.0,0
23.0,183.8,350.0,741.0,0
19.7,150.7,1479.0,322.0,0
45.5,155.2,1654.0,648.0,0
45.5,124.5,506.0,401.0,0
48.4,30.6,1061.0,716.0,0
50.7,18.8,1697.0,207.0,0
30.6,494.0,1492.0,891.0,1
30.1,219.6,1130.0,295.0,1
44.9,198.3,1222.0,374.0,1
37.5,343.0,1066.0,68.0,1
40.1,116.9,665.0,120.0,0
44.8,475.5,1174.0,521.0,1
49.5,395.3,1409.0,275.0,1
21.9,53.8,1759.0,837.0,0
23.8,214.6,1309.0,25.0,0
9.7,440.8,1546.0,385.0,1
33.9,472.9,404.0,344.0,1
6.8,239.0,977.0,29.0,0
28.3,310.6,118.0,133.0,0
32.1,91.8,569.0,420.0,0
19.3,495.7,1480.0,498.0,0
34.5,123.5,1984.0,410.0,0
6.5,471.9,288.0,536.0,0
6.9,328.3,863.0,599.0,0
46.1,307.8,1620.0,20.0,1
23.0,261.2,488.0,469.0,0
11.4,123.0,1155.0,964.0,0
31.1,96.5,1493.0,524.0,0
43.5,118.0,1270.0,681.0,0
15.8,101.4,457.0,319.0,0
36.1,392.0,775.0,776.0,1
9.3,181.6,1589.0,775.0,0
7.6,38.3,1153.0,526.0,0
31.6,484.9,110.0,976.0,1
32.0,443.1,1546.0,134.0,0
36.9,464.6,167.0,27.0,1
41.3,497.5,1517.0,772.0,1
53.8,95.2,485.0,809.0,0
30.8,204.2,1920.0,129.0,0
21.1,381.5,799.0,273.0,0
44.8,351.1,721.0,27.0,1
18.5,85.4,383.0,300.0,0
26.9,409.8,681.0,775.0,0
8.9,120.0,1766.0,523.0,0
6.3,119.7,1993.0,355.0,1
53.1,273.1,800.0,378.0,1
46.8,300.5,952.0,11.0,1
39.8,294.2,1472.0,307.0,0
25.4,54.8,1784.0,650.0,0
13.7,440.0,1227.0,974.0,0
12.8,140.1,844.0,849.0,0
17.5,73.5,884.0,33.0,0
32.5,445.5,1422.0,900.0,1
40.7,478.3,106.0,785.0,1
38.0,432.4,1277.0,783.0,1
19.0,406.7,775.0,463.0,0
52.7,331.1,1609.0,404.0,1
41.9,279.9,277.0,310.0,1
32.7,52.6,1218.0,75.0,1
35.6,210.1,1014.0,236.0,1
26.0,192.6,1320.0,254.0,1
17.4,137.3,223.0,489.0,0
22.8,364.5,1202.0,750.0,0
42.9,253.0,1167.0,479.0,1
5.7,49.7,1165.0,67.0,0
10.8,117.9,1247.0,958.0,0
7.3,344.8,1385.0,943.0,0
7.0,47.3,1629.0,787.0,0
47.8,427.1,613.0,991.0,1
40.2,252.6,1668.0,549.0,1
28.7,245.5,1047.0,963.0,0
9.9,300.3,246.0,85.0,0
29.6,414.1,211.0,372.0,0
28.7,180.4,735.0,233.0,0
13.7,342.2,1591.0,204.0,0
26.7,287.2,1445.0,149.0,0
24.9,140.8,1598.0,626.0,0
35.8,440.5,1083.0,784.0,1
36.8,400.7,936.0,583.0,1
7.3,332.6,380.0,155.0,0
23.7,426.8,724.0,813.0,0
36.3,435.0,925.0,640.0,1
30.2,357.1,268.0,394.0,1
47.8,420.1,519.0,677.0,1
37.9,351.8,1237.0,267.0,1
13.1,343.3,1498.0,352.0,0
8.5,313.1,1997.0,918.0,0
37.1,378.8,1873.0,298.0,1
6.3,87.7,1321.0,475.0,0
34.3,441.6,900.0,891.0,1
52.0,437.2,1309.0,711.0,1
33.8,24.3,1593.0,72.0,0
24.4,414.7,325.0,156.0,0
37.2,73.1,879.0,18.0,0
27.9,174.2,1696.0,635.0,0
32.3,374.3,829.0,453.0,1
52.1,88.8,1187.0,143.0,0
24.3,410.8,1217.0,958.0,0
53.1,417.7,451.0,534.0,1
50.3,258.7,788.0,249.0,1
14.8,13.1,736.0,506.0,0
8.5,150.6,150.0,683.0,0
10.0,312.3,146.0,85.0,0
5.9,490.8,1680.0,282.0,0
9.7,319.6,619.0,809.0,0
39.2,137.3,1084.0,465.0,1
8.6,320.7,668.0,551.0,0
20.9,274.6,1887.0,438.0,0
47.2,392.1,593.0,53.0,1
6.2,62.4,916.0,174.0,0
45.7,382.9,1758.0,451.0,1
19.1,275.2,1700.0,217.0,0
10.9,481.9,454.0,59.0,0
39.8,177.5,1625.0,845.0,0
36.4,320.0,971.0,981.0,1
48.9,466.7,1018.0,795.0,1
41.8,60.2,354.0,855.0,0
45.2,469.2,253.0,250.0,1
19.1,347.1,1483.0,961.0,0
13.9,43.2,1043.0,205.0,0
42.5,157.5,930.0,952.0,0
45.3,357.0,1486.0,995.0,1
54.5,43.0,1554.0,715.0,1
25.6,295.3,402.0,981.0,0
23.6,179.5,1259.0,574.0,0
43.8,314.2,357.0,267.0,1
22.0,32.4,1528.0,443.0,0
51.5,437.1,1348.0,598.0,1
47.9,487.0,1918.0,82.0,1
26.4,484.8,231.0,626.0,0
42.5,377.3,208.0,981.0,1
42.7,73.7,636.0,198.0,0
10.2,381.5,597.0,795.0,0
50.1,22.0,569.0,909.0,0
30.3,20.8,1822.0,944.0,0
46.3,168.6,574.0,961.0,0
21.0,249.4,617.0,526.0,0
49.8,387.5,1543.0,978.0,1
24.5,344.8,955.0,760.0,0
5.5,228.5,1576.0,170.0,0
50.3,144.1,224.0,482.0,1
9.6,498.6,1026.0,721.0,1
21.0,218.8,164.0,255.0,0
52.5,231.2,219.0,644.0,1
52.5,90.2,1822.0,670.0,0
33.7,399.5,365.0,171.0,1
36.6,349.9,1112.0,569.0,1
27.4,118.2,881.0,774.0,0
19.7,50.4,760.0,504.0,0
21.4,343.4,1810.0,22.0,0
38.6,330.7,141.0,19.0,1
42.6,143.9,1361.0,363.0,0
44.6,475.9,1930.0,927.0,1
44.5,84.0,1164.0,236.0,0
9.6,221.8,1880.0,638.0,0
29.7,472.4,199.0,230.0,0
7.9,215.7,896.0,328.0,0
32.5,322.9,594.0,850.0,1
27.1,204.8,1489.0,732.0,0
49.4,144.4,1964.0,104.0,0
22.5,492.1,587.0,434.0,0
10.9,210.6,1343.0,39.0,0
12.1,448.1,476.0,486.0,0
43.1,122.7,1174.0,666.0,0
35.9,114.4,981.0,127.0,0
10.1,25.3,1947.0,296.0,0
9.2,329.3,1256.0,404.0,0
40.0,190.6,764.0,920.0,0
8.6,433.5,317.0,993.0,1
46.1,241.9,387.0,54.0,1
40.3,484.4,528.0,763.0,1
9.1,100.9,577.0,378.0,0
9.2,435.6,1716.0,399.0,0
54.3,390.5,1166.0,757.0,0
23.7,387.8,1094.0,919.0,0
23.5,423.9,318.0,951.0,0
45.6,382.9,1734.0,581.0,1
52.4,316.8,1473.0,364.0,1
54.3,74.3,229.0,790.0,0
42.7,25.9,1445.0,258.0,0
23.8,461.2,1133.0,568.0,0
9.2,312.2,255.0,365.0,1
43.9,400.3,971.0,660.0,1
32.9,245.9,1021.0,248.0,1
26.2,67.5,415.0,200.0,0
50.3,71.3,1897.0,919.0,0
10.6,345.9,1715.0,111.0,0
29.6,220.8,1371.0,511.0,0
5.6,108.3,978.0,229.0,0
28.4,250.9,882.0,49.0,0
7.8,41.5,1337.0,46.0,0
10.9,295.2,1136.0,183.0,1
10.9,141.8,218.0,868.0,0
37.5,400.8,1074.0,290.0,1
42.3,162.1,1632.0,951.0,0
34.2,233.1,973.0,586.0,1
53.1,15.7,199.0,442.0,0
23.7,45.5,1594.0,584.0,0
19.3,202.3,483.0,522.0,0
48.4,245.2,591.0,761.0,1
16.2,304.0,413.0,290.0,0
53.2,152.9,727.0,360.0,0
5.6,350.5,1538.0,895.0,0
53.5,431.5,1087.0,947.0,1
7.2,392.1,489.0,894.0,0
49.6,29.4,1768.0,425.0,0
31.4,245.4,1771.0,783.0,1
54.6,61.4,1754.0,482.0,0
8.7,128.6,554.0,503.0,0
32.7,493.5,957.0,213.0,1
53.5,79.8,1971.0,595.0,0
31.2,254.5,1567.0,194.0,1
36.5,312.9,152.0,338.0,1
39.8,354.2,224.0,856.0,1
27.7,284.2,981.0,215.0,0
36.4,14.8,1828.0,80.0,0
34.2,170.0,1124.0,78.0,0
50.1,263.7,1046.0,941.0,1
7.3,53.1,300.0,512.0,1
19.0,181.8,1348.0,415.0,0
52.5,26.3,1662.0,813.0,0
49.5,48.5,823.0,837.0,0
27.8,204.5,1574.0,339.0,0
36.0,75.0,1933.0,697.0,0
18.9,288.1,487.0,773.0,0
14.4,347.8,1094.0,658.0,0
28.2,402.3,646.0,160.0,0
22.7,108.1,1606.0,877.0,0
34.2,92.1,1197.0,544.0,1
8.9,61.2,1306.0,290.0,0
53.7,321.9,1616.0,431.0,0
54.3,356.2,852.0,47.0,1
39.9,25.5,1839.0,137.0,0
31.8,468.7,1113.0,768.0,1
20.5,35.5,400.0,10.0,0
45.7,275.2,1422.0,422.0,1
39.2,357.4,1607.0,527.0,0
13.1,436.8,702.0,64.0,0
50.5,359.9,1729.0,973.0,1
46.1,402.8,1822.0,234.0,1
52.5,176.3,626.0,311.0,0
41.3,409.3,1969.0,311.0,0
35.7,49.3,367.0,238.0,0
25.9,448.5,484.0,11.0,0
51.6,278.3,450.0,732.0,1
48.3,410.5,1799.0,967.0,1
7.3,231.6,1343.0,232.0,1
6.3,325.4,389.0,666.0,0
23.8,267.9,937.0,744.0,0
45.5,368.5,1269.0,850.0,1
54.4,50.0,259.0,428.0,0
12.5,39.6,1777.0,310.0,0
34.7,131.1,1627.0,332.0,0
24.0,88.2,1060.0,715.0,0
53.5,437.2,1938.0,819.0,0
47.1,117.4,894.0,190.0,0
46.9,488.2,1970.0,377.0,1
28.4,175.1,1369.0,903.0,1
25.7,99.2,1306.0,809.0,0
18.7,397.0,415.0,985.0,0
7.8,332.8,1776.0,757.0,0
48.2,254.1,912.0,399.0,1
45.6,282.1,408.0,595.0,1
55.0,362.4,124.0,664.0,0
54.8,121.9,1164.0,88.0,0
32.8,498.2,1102.0,549.0,1
43.4,487.6,1467.0,712.0,1
52.2,328.7,1791.0,176.0,1
47.5,107.8,251.0,783.0,0
17.4,343.3,1490.0,588.0,0
27.5,45.4,456.0,953.0,0
11.5,25.0,1731.0,52.0,0
52.7,136.3,1656.0,273.0,1
35.3,236.7,1128.0,606.0,1
16.4,435.5,1449.0,304.0,0
38.6,366.3,697.0,717.0,1
35.9,373.9,995.0,761.0,1
22.9,218.5,1661.0,111.0,0
10.7,179.5,973.0,519.0,0
38.6,191.8,780.0,514.0,0
31.0,493.9,1039.0,376.0,1
43.6,29.7,1674.0,934.0,0
31.0,434.8,737.0,829.0,1
47.6,293.6,430.0,700.0,0
32.6,224.9,1453.0,717.0,1
33.0,365.4,1669.0,467.0,1
48.8,248.5,291.0,922.0,1
25.2,438.0,556.0,698.0,0
11.7,451.3,370.0,732.0,0
6.4,216.6,761.0,863.0,0
42.8,145.6,956.0,281.0,0
36.0,300.3,1523.0,809.0,1
40.2,457.1,1337.0,203.0,1
15.6,113.2,1280.0,352.0,0
11.8,315.3,770.0,342.0,0
5.7,319.5,1699.0,979.0,0
22.5,369.2,995.0,858.0,0
34.5,74.5,1960.0,704.0,0
24.6,360.8,1305.0,730.0,0
26.9,455.4,340.0,566.0,0
50.2,98.0,1385.0,948.0,0
22.4,126.4,718.0,501.0,0
30.7,486.0,1404.0,387.0,1
44.2,98.7,232.0,171.0,1
24.8,428.6,432.0,788.0,0
36.1,251.2,1726.0,737.0,1
48.1,131.1,532.0,391.0,0
52.5,436.7,1690.0,35.0,0
12.4,228.2,631.0,841.0,0
51.3,262.3,1321.0,21.0,1
29.6,186.0,1419.0,707.0,0
17.9,300.5,1074.0,971.0,0
28.0,90.1,680.0,443.0,0
54.0,201.6,504.0,243.0,1
29.6,485.0,163.0,708.0,0
21.4,136.5,677.0,819.0,0
36.7,331.8,1341.0,551.0,1
17.0,169.3,1883.0,967.0,0
8.8,389.0,1755.0,61.0,0
11.4,74.1,1556.0,510.0,0
11.4,485.2,1598.0,721.0,0
12.6,232.4,1363.0,864.0,1
11.9,125.7,595.0,187.0,0
37.0,46.0,1824.0,802.0,0
14.1,93.2,1374.0,557.0,0
22.3,264.7,1165.0,403.0,0
49.8,175.1,311.0,140.0,0
28.7,416.2,949.0,867.0,0
38.4,221.1,975.0,166.0,1
13.6,131.9,1743.0,317.0,0
14.6,312.4,1139.0,297.0,0
7.0,356.3,823.0,873.0,0
13.4,91.9,1956.0,676.0,0
18.9,92.1,310.0,799.0,1
13.9,28.0,903.0,258.0,0
9.4,370.8,180.0,629.0,1
11.0,335.3,1506.0,576.0,0
28.0,242.6,1844.0,835.0,1
15.3,423.6,632.0,907.0,0
23.2,404.8,1731.0,22.0,0
30.2,296.8,655.0,677.0,1
39.5,435.5,1830.0,61.0,1
7.0,110.9,1533.0,553.0,0
45.0,64.8,1629.0,295.0,0
36.4,142.2,134.0,314.0,0
9.1,38.0,1929.0,359.0,0
48.7,270.3,1481.0,625.0,1
51.0,468.9,679.0,341.0,1
8.1,29.3,1676.0,735.0,0
18.8,69.8,635.0,410.0,0
45.3,231.6,1758.0,78.0,1
42.4,467.6,314.0,786.0,1
14.2,164.9,1437.0,293.0,0
15.5,258.5,1127.0,438.0,0
23.5,30.4,283.0,689.0,0
29.2,82.7,560.0,339.0,0
35.9,493.4,124.0,66.0,1
23.4,482.9,991.0,380.0,0
28.1,12.4,672.0,945.0,0
42.4,476.4,1237.0,645.0,1
6.8,323.2,665.0,675.0,0
17.6,435.3,670.0,636.0,0
40.7,232.8,1512.0,207.0,1
49.8,262.6,191.0,424.0,1
30.6,249.5,1816.0,753.0,1
31.6,336.8,1719.0,110.0,1
10.4,78.4,1369.0,285.0,0
27.4,24.7,1227.0,284.0,0
31.6,160.9,1795.0,438.0,1
17.1,355.3,452.0,981.0,0
18.5,108.9,250.0,77.0,1
23.9,340.0,555.0,524.0,0
6.0,485.3,1610.0,188.0,0
21.1,56.0,166.0,971.0,0
15.6,339.6,1207.0,122.0,0
21.4,227.4,1991.0,410.0,0
11.0,435.4,1726.0,741.0,0
49.5,96.8,1091.0,708.0,0
34.7,349.4,221.0,429.0,0
39.0,420.7,1680.0,353.0,1
44.5,472.9,1238.0,404.0,1
29.9,344.8,318.0,272.0,0
9.3,253.6,278.0,213.0,0
31.9,312.7,1828.0,488.0,1
34.3,435.8,1371.0,276.0,1
42.3,289.6,1676.0,295.0,0
26.6,24.9,1770.0,660.0,0
11.4,466.2,1186.0,969.0,0
19.2,347.9,1083.0,608.0,0
23.2,341.5,918.0,86.0,0
37.3,115.7,702.0,85.0,0
33.5,332.9,926.0,952.0,1
22.8,203.0,1570.0,304.0,0
54.3,329.1,1244.0,101.0,1
35.3,62.2,1796.0,603.0,0
16.9,332.3,942.0,627.0,0
10.1,499.7,1253.0,652.0,0
12.6,33.6,1299.0,275.0,0
17.3,488.8,1224.0,25.0,0
13.0,209.4,1435.0,965.0,0
14.3,436.7,551.0,258.0,0
19.3,393.4,1073.0,679.0,0
13.7,287.8,298.0,710.0,0
49.8,371.8,831.0,614.0,1
9.0,440.5,1027.0,320.0,0
31.2,208.0,1339.0,278.0,1
25.5,170.2,1906.0,602.0,0
54.1,337.1,1241.0,867.0,1
10.6,405.8,1513.0,947.0,0
24.9,383.5,1062.0,115.0,0
53.5,400.9,1305.0,163.0,1
48.3,223.4,235.0,945.0,1
45.9,410.7,583.0,739.0,1
17.9,68.9,788.0,884.0,0
13.5,276.8,998.0,211.0,1
38.4,12.8,187.0,592.0,0
51.5,169.0,366.0,704.0,0
32.8,189.6,626.0,683.0,1
33.6,204.1,1946.0,414.0,0
19.0,350.8,730.0,25.0,0
43.5,200.4,1016.0,587.0,1
14.4,229.9,473.0,261.0,0
21.2,126.4,1260.0,456.0,0
26.3,192.9,633.0,958.0,0
30.4,121.4,493.0,405.0,0
17.1,45.9,1081.0,841.0,0
10.7,305.7,110.0,197.0,0
35.5,337.4,115.0,676.0,1
19.4,313.6,516.0,977.0,0
34.1,237.1,170.0,111.0,1
12.7,196.1,305.0,18.0,0
29.1,433.0,744.0,439.0,0
31.6,264.4,1625.0,102.0,1
7.6,244.8,1187.0,751.0,0
21.8,22.6,1074.0,915.0,1
11.7,177.2,658.0,440.0,0
8.2,196.3,1870.0,266.0,0
54.5,205.4,854.0,440.0,1
21.1,294.3,265.0,726.0,0
45.5,271.5,1272.0,19.0,1
17.7,307.9,316.0,594.0,0
39.1,384.8,756.0,617.0,1
43.0,408.4,1064.0,641.0,1
34.8,361.9,1761.0,250.0,1
28.6,478.2,1038.0,717.0,0
25.6,18.9,1434.0,100.0,1
22.4,105.9,1986.0,207.0,1
51.5,13.7,350.0,879.0,0
46.5,327.3,622.0,741.0,1
53.3,450.0,850.0,24.0,1
11.2,129.3,901.0,256.0,0
41.5,464.2,881.0,222.0,1
51.9,39.5,1824.0,278.0,1
14.1,467.9,1457.0,255.0,0
8.3,182.3,1255.0,72.0,0
42.1,59.7,688.0,464.0,0
33.7,248.1,1665.0,735.0,0
47.1,135.8,1915.0,611.0,0
12.0,149.6,1660.0,676.0,0
44.8,160.6,103.0,90.0,0
15.1,403.5,1309.0,952.0,0
13.2,274.2,197.0,840.0,0
13.2,162.5,589.0,807.0,1
45.7,309.1,213.0,825.0,1
38.3,360.9,1247.0,933.0,1
31.2,143.6,1405.0,549.0,0
22.9,212.6,318.0,208.0,0
48.9,69.7,829.0,621.0,0
24.6,98.8,967.0,745.0,0
45.8,343.7,801.0,741.0,1
27.0,98.9,330.0,526.0,0
23.8,267.3,896.0,78.0,0
28.1,357.4,1527.0,377.0,0
20.1,62.4,235.0,922.0,0
42.4,288.0,252.0,589.0,1
30.1,135.7,774.0,543.0,0
16.6,481.8,1889.0,276.0,0
50.0,246.9,1370.0,375.0,1
24.2,404.9,1389.0,896.0,0
32.2,279.6,788.0,670.0,1
50.3,31.3,1228.0,790.0,0
36.2,320.2,119.0,460.0,1
10.8,476.2,1309.0,634.0,0
52.0,304.8,1835.0,256.0,1
